datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
1,EEGC3,694,1.32696,1.260346,130.6529,-577.624,-331.1208,559.8424,327.5235,0.793433,0.842949,30,15690,-39.29784,72.31276,38.98001,-74.06619,56.58669
1,EEGC4,717,1.370937,1.285049,127.3299,-565.4873,-316.9098,552.0486,303.9876,0.778181,0.805636,30,15690,-38.31012,70.87631,37.94998,-71.53523,55.79468
2,EEGC3,619,1.07279,1.175073,131.6305,-608.7962,-325.4153,635.3621,354.041,0.851011,0.910053,30,17310,-40.72944,77.40795,39.37965,-70.77225,60.85827
2,EEGC4,655,1.135182,1.175771,136.7591,-610.31,-330.3625,655.0843,366.3292,0.850506,0.925664,30,17310,-41.68464,79.05904,40.76259,-73.63476,63.1243
3,EEGC3,598,1.251046,1.298729,115.4585,-476.8506,-257.6829,491.9802,262.3795,0.769984,0.809684,30,14340,-36.3122,68.27995,34.41184,-61.9947,53.46381
3,EEGC4,544,1.138075,1.246581,130.3669,-569.877,-314.4077,568.7849,309.0419,0.802194,0.836769,30,14340,-40.51009,76.11882,38.85088,-70.75305,59.61385
4,EEGC3,1300,2.120718,1.255808,208.1506,-824.2992,-432.7412,901.5856,531.7708,0.7963,0.924806,30,18390,-59.76809,111.9825,62.7658,-112.2303,95.9202
4,EEGC4,1231,2.008157,1.24381,221.1445,-877.2553,-472.7058,945.3776,553.5491,0.803981,0.902202,30,18390,-63.91459,120.3993,66.91564,-118.7641,102.3804
5,EEGC3,677,1.090177,1.127474,165.7359,-756.6403,-423.3566,840.6199,489.4126,0.886938,0.995208,30,18630,-51.2578,96.69904,49.30575,-90.53249,75.20338
5,EEGC4,579,0.932367,1.122073,167.8445,-781.0041,-436.0737,846.3242,514.7382,0.891208,1.020156,30,18630,-52.09877,96.7843,50.11915,-93.27401,74.57051
6,EEGC3,1366,2.04491,1.166786,241.69,-972.9189,-532.7481,1160.307,686.0611,0.857055,1.003202,30,20040,-67.92177,127.264,73.86507,-130.9546,110.7355
6,EEGC4,1384,2.071856,1.199415,253.2298,-1032.596,-570.179,1158.762,677.0654,0.83374,0.925666,30,20040,-72.95373,136.261,77.3319,-138.5719,114.6579
7,EEGC3,803,1.517958,1.166526,165.6546,-703.0023,-385.0973,796.4861,484.6522,0.857247,0.996327,30,15870,-49.25938,91.75374,49.86322,-91.47635,74.17826
7,EEGC4,771,1.457467,1.168677,167.5517,-703.5201,-384.0212,822.6397,490.9229,0.855668,1.00341,30,15870,-50.06924,94.00833,50.20012,-90.37443,77.17729
8,EEGC3,1158,1.757208,1.199629,178.5169,-723.7392,-386.1147,824.2301,473.0691,0.833591,0.935062,30,19770,-51.55147,98.07828,53.96263,-94.97238,83.54457
8,EEGC4,1231,1.867982,1.245118,169.7548,-696.7512,-369.0048,765.9961,423.9187,0.803137,0.868872,30,19770,-50.75385,95.9429,51.11313,-90.6394,79.11542
9,EEGC3,610,1.191406,1.13118,151.737,-747.4907,-431.9539,759.4855,437.7914,0.884032,0.957794,30,15360,-48.4347,90.39556,45.26885,-84.07782,67.65917
9,EEGC4,625,1.220703,1.174304,150.3524,-705.4466,-397.7529,721.8716,407.2782,0.851568,0.909567,30,15360,-48.13274,90.13898,44.7202,-82.69697,67.65538
10,EEGC3,998,1.62013,1.130741,158.9038,-634.1375,-335.7304,751.8143,424.6604,0.884375,1.011801,30,18480,-46.36674,88.63224,48.70946,-83.19753,75.70623
10,EEGC4,1052,1.707792,1.141103,164.6289,-659.001,-356.3713,773.7695,446.4421,0.876345,1.009287,30,18480,-49.07078,93.15235,50.60313,-87.20312,77.42574
11,EEGC3,608,1.076106,1.202862,114.7061,-518.8398,-301.8162,515.977,297.1788,0.831351,0.846962,30,16950,-36.21874,67.22276,34.76431,-63.85821,50.84786
11,EEGC4,636,1.125664,1.213601,114.5482,-496.6247,-277.3232,512.8581,300.7309,0.823994,0.866343,30,16950,-37.1093,68.88657,34.40373,-63.3077,51.24047
12,EEGC3,1017,1.42437,1.198142,162.745,-772.7887,-448.3096,726.5164,410.2606,0.834626,0.84774,30,21420,-51.47248,94.19217,48.68045,-92.03778,70.70717
12,EEGC4,1093,1.530812,1.195773,178.4746,-859.9068,-503.0992,789.8476,448.7978,0.836279,0.856838,30,21420,-56.65703,103.6016,53.57529,-101.2514,77.22314
13,EEGC3,1378,2.123267,1.270704,167.0265,-689.2916,-394.4759,688.8397,412.3612,0.786965,0.832367,30,19470,-52.24592,96.40155,50.98198,-92.72824,74.29826
13,EEGC4,1420,2.187982,1.296042,176.5745,-736.9989,-421.5337,713.7307,419.6868,0.77158,0.808905,30,19470,-54.82035,101.3131,53.52374,-98.78069,77.7938
14,EEGC3,793,1.510476,1.296368,152.9466,-634.4375,-336.6179,689.1791,391.8906,0.771386,0.846589,30,15750,-45.34211,84.15204,45.53323,-84.77873,68.1679
14,EEGC4,703,1.339048,1.310526,134.0534,-558.5207,-298.8358,581.1906,323.2943,0.763052,0.820801,30,15750,-40.51553,76.03851,40.13815,-73.51797,60.53544
15,EEGC3,982,1.647651,1.18055,168.7811,-898.5593,-528.3606,736.9336,388.6958,0.847063,0.7931,30,17880,-52.26712,96.45189,50.40448,-95.06609,73.71504
15,EEGC4,940,1.577181,1.195457,173.4655,-899.8031,-535.0066,743.4104,397.9062,0.8365,0.788644,30,17880,-52.95011,97.51729,51.5306,-98.05055,75.41491
16,EEGC3,880,1.533101,1.179955,151.7467,-668.563,-375.6519,719.2118,427.0468,0.84749,0.944672,30,17220,-45.5178,84.3504,45.54578,-84.44591,67.30079
16,EEGC4,930,1.620209,1.205387,157.6235,-687.761,-391.6392,738.2579,431.736,0.829609,0.91763,30,17220,-47.62272,87.68604,47.19197,-88.73704,68.88645
17,EEGC3,1458,2.314286,1.266214,227.0382,-839.4896,-446.9908,995.3006,569.4855,0.789756,0.917177,30,18900,-64.32205,122.6574,69.77799,-120.8286,106.2096
17,EEGC4,1517,2.407937,1.250224,229.6651,-851.1666,-459.5802,1000.757,581.0081,0.799857,0.921908,30,18900,-64.90122,123.167,70.59708,-123.396,106.2691
18,EEGC3,934,1.661922,1.262923,154.7748,-593.7656,-325.7385,661.0474,377.5215,0.791814,0.883583,30,16860,-44.43588,84.51985,47.21717,-83.06316,71.71166
18,EEGC4,945,1.681495,1.254413,157.8389,-589.6032,-325.1397,657.5337,392.096,0.797186,0.923483,30,16860,-46.05132,86.1955,48.43582,-84.95241,72.88654
19,EEGC3,630,1.026059,1.156984,117.0904,-508.5211,-286.3789,561.442,322.5301,0.864316,0.958029,30,18420,-38.1184,70.99633,35.18274,-63.06687,54.02351
19,EEGC4,627,1.021173,1.163604,117.6816,-515.925,-292.5626,557.4204,333.3475,0.859399,0.961096,30,18420,-38.29728,70.57046,35.64222,-65.14634,52.53529
20,EEGC3,739,1.184295,1.139147,170.8173,-775.0741,-428.5753,835.6053,477.7857,0.877849,0.947971,30,18720,-50.29687,95.04412,51.40485,-92.17275,78.64456
20,EEGC4,763,1.222756,1.163237,163.275,-739.5887,-414.1821,811.2321,452.7258,0.85967,0.93783,30,18720,-49.77241,93.37131,48.63358,-88.67975,74.59529
21,EEGC3,686,1.094099,1.12398,170.546,-721.6275,-419.4729,765.8536,479.8252,0.889696,0.989699,30,18810,-48.41938,89.55393,52.58511,-93.74448,76.80149
21,EEGC4,682,1.087719,1.149853,159.777,-686.9976,-394.9964,707.6759,428.9974,0.869676,0.970515,30,18810,-45.75665,84.98315,48.88683,-88.17192,71.60509
22,EEGC3,696,1.238434,1.211092,138.2175,-564.1775,-303.5539,647.7937,369.8699,0.825701,0.932201,30,16860,-39.70415,74.70906,41.87839,-74.49442,63.72309
22,EEGC4,675,1.201068,1.231096,148.295,-594.161,-325.3044,687.3,392.8625,0.812284,0.915751,30,16860,-42.71964,80.05085,44.58439,-80.4252,67.86982
23,EEGC3,1281,2.131448,1.183739,206.3335,-773.1197,-427.8454,902.4569,553.6896,0.844781,0.999594,30,18030,-58.43435,109.6179,63.65002,-111.895,94.43844
23,EEGC4,1389,2.311148,1.204824,238.7877,-911.6397,-491.6185,1045.342,640.5474,0.829997,0.972376,30,18030,-68.34547,127.3834,73.01586,-130.4723,108.3154
24,EEGC3,974,1.648054,1.111838,228.4912,-942.5212,-541.6798,1165.2,687.5027,0.899412,1.103733,30,17730,-64.99277,120.9848,70.30528,-125.7338,102.7574
24,EEGC4,1079,1.825719,1.125477,269.2282,-1109.235,-639.4206,1350.658,813.4868,0.888512,1.10508,30,17730,-76.88414,141.8322,82.47162,-149.3147,119.9135
25,EEGC3,281,0.604301,1.11548,119.3302,-580.1724,-341.2818,575.7797,355.4349,0.896475,1.025922,30,13950,-33.84752,62.14632,35.48531,-68.21467,51.11557
25,EEGC4,256,0.550538,1.09582,110.7381,-539.3904,-309.8701,561.3277,328.8753,0.912558,1.041074,30,13950,-30.90751,57.86836,33.1819,-61.15511,49.58298
26,EEGC3,1039,1.749158,1.157584,157.9153,-656.444,-370.3608,676.8095,384.5388,0.863868,0.90318,30,17820,-46.8095,88.58732,49.12017,-84.31947,73.5958
26,EEGC4,1027,1.728956,1.182512,159.931,-658.5532,-373.2133,689.5256,394.4533,0.845657,0.897194,30,17820,-48.51203,90.87003,49.21531,-86.42091,73.51006
27,EEGC3,735,1.229097,1.211864,127.3579,-553.1296,-314.6711,577.1815,327.5206,0.825175,0.878703,30,17940,-38.87121,73.12216,38.52736,-70.10783,57.25004
27,EEGC4,776,1.297659,1.184781,142.7752,-634.3603,-359.2243,665.2507,384.2184,0.844038,0.918061,30,17940,-43.28045,81.19649,43.06454,-79.14383,63.63136
28,EEGC3,497,1.01222,1.189859,159.2772,-628.8444,-336.2597,817.2515,468.137,0.840436,1.038662,30,14730,-42.91847,81.39347,47.65136,-85.4952,73.78196
28,EEGC4,545,1.10998,1.225394,159.9952,-641.2887,-340.6451,764.0273,428.9629,0.816064,0.936426,30,14730,-44.75751,84.83944,47.80787,-85.42687,74.56831
29,EEGC3,465,1.223684,1.104344,210.1383,-920.0751,-499.6707,1048.46,614.3954,0.905515,1.050468,30,11400,-61.59358,117.5871,64.09372,-113.2035,96.93487
29,EEGC4,452,1.189474,1.113783,209.159,-927.5919,-501.4049,1027.099,579.6953,0.897841,0.977932,30,11400,-62.70202,119.4682,63.44113,-112.0313,97.12762
30,EEGC3,883,1.417335,1.177746,165.3726,-734.9999,-423.5158,749.1308,441.93,0.849079,0.934451,30,18690,-47.39119,87.83666,50.48532,-93.15663,72.21599
30,EEGC4,789,1.266453,1.197744,158.0035,-715.6297,-409.5518,711.0502,419.6456,0.834903,0.884728,30,18690,-46.42393,85.49631,47.80672,-88.78408,69.21947
31,EEGC3,1040,1.680129,1.220288,162.4953,-693.1662,-397.5954,698.5697,413.2791,0.819478,0.883347,30,18570,-48.97351,91.19407,49.55194,-89.4381,73.05722
31,EEGC4,1044,1.686591,1.242778,168.6489,-709.3763,-395.6261,718.1895,414.2443,0.804649,0.847526,30,18570,-50.99488,94.98062,51.27872,-92.51949,76.12943
32,EEGC3,902,1.599291,1.205865,155.2088,-642.055,-329.8777,736.8803,342.7435,0.82928,0.871733,30,16920,-49.83957,98.06942,46.35272,-79.23005,75.97877
32,EEGC4,852,1.510638,1.226702,152.085,-643.8852,-337.207,710.1988,342.7007,0.815194,0.842197,30,16920,-49.48774,96.60049,45.35598,-79.27279,72.81225
33,EEGC3,644,1.181651,1.246398,168.1796,-789.1746,-452.3109,768.1072,450.1757,0.802312,0.842998,30,16350,-48.96363,89.59132,49.88555,-96.90489,71.27476
33,EEGC4,680,1.247706,1.256176,160.4703,-745.169,-426.6298,696.0536,407.8342,0.796066,0.810701,30,16350,-47.24165,86.64912,47.54724,-91.90049,68.56984
34,EEGC3,1139,1.846029,1.201958,229.5533,-889.5927,-468.6756,1055.979,642.8617,0.831976,0.999666,30,18510,-60.83554,113.7747,70.01316,-124.9768,104.5766
34,EEGC4,1161,1.881686,1.211008,240.1537,-953.3741,-515.7732,1106.662,666.6753,0.825759,0.987732,30,18510,-64.06345,118.6876,73.21946,-132.5947,107.559
35,EEGC3,789,1.274637,1.107921,141.6811,-587.3267,-340.2099,683.37,432.6136,0.902591,1.103034,30,18570,-45.62195,82.82242,43.49229,-78.95493,62.72618
35,EEGC4,754,1.218094,1.117984,151.2124,-640.7355,-373.1386,711.9156,444.6734,0.894467,1.061553,30,18570,-48.1888,87.04336,46.43801,-84.43556,66.77689
36,EEGC3,1025,1.596573,1.202351,116.1513,-501.2369,-281.2101,513.5365,280.1775,0.831704,0.874066,30,19260,-39.04036,74.00987,34.85698,-62.60565,53.54569
36,EEGC4,996,1.551402,1.171355,116.1951,-512.0639,-291.8725,528.6563,305.9593,0.853712,0.906377,30,19260,-38.84728,72.65393,35.01444,-64.24541,51.94964
37,EEGC3,686,1.715,1.324213,114.0094,-461.8406,-248.5993,473.0454,248.3476,0.755166,0.752837,30,12000,-36.47947,69.74999,34.2395,-60.52892,53.48047
37,EEGC4,681,1.7025,1.364949,109.0505,-443.1476,-237.2212,449.4288,225.3332,0.732628,0.73558,30,12000,-35.83864,68.37707,32.70814,-58.14756,50.90291
38,EEGC3,764,1.646552,1.377317,120.6962,-475.428,-249.2283,500.9074,273.6964,0.726049,0.75964,30,13920,-37.92401,71.36925,36.05789,-65.35833,55.33786
38,EEGC4,742,1.599138,1.389232,114.8262,-448.1828,-238.2372,470.8611,235.333,0.719822,0.72314,30,13920,-36.70507,70.07348,34.28048,-60.70057,54.12567
39,EEGC3,997,2.010081,1.455436,128.7062,-482.7985,-249.7271,500.0399,235.2111,0.687079,0.694996,30,14880,-42.61158,82.59305,38.47952,-66.56821,62.13801
39,EEGC4,929,1.872984,1.463089,126.0172,-454.9507,-238.1772,491.0181,220.2746,0.683485,0.684195,30,14880,-40.92966,79.68916,37.5522,-64.798,61.21921
40,EEGC3,547,0.97331,1.288135,104.6983,-444.7039,-237.9529,482.2632,259.0361,0.776316,0.830651,30,16860,-31.89902,60.88685,30.74737,-56.36934,48.32894
40,EEGC4,529,0.941281,1.288885,99.48904,-426.5428,-229.1078,457.5661,228.7764,0.775865,0.803097,30,16860,-31.35975,59.8012,29.26914,-53.03988,46.44916
41,EEGC3,900,1.410658,1.168222,147.6817,-648.9129,-354.1406,688.8953,383.5358,0.856002,0.903633,30,19140,-43.99525,83.03871,44.63021,-79.58791,68.0938
41,EEGC4,958,1.501567,1.212808,147.1607,-646.7181,-343.974,691.2409,384.8342,0.824533,0.86996,30,19140,-43.41377,81.59396,44.08573,-79.88866,67.27206
42,EEGC3,1358,1.857729,1.245398,153.5432,-671.2805,-379.8816,673.2197,363.0028,0.802956,0.808276,30,21930,-49.15463,92.33777,45.6627,-83.36866,70.17452
42,EEGC4,1199,1.640219,1.22593,140.8684,-614.4743,-336.5534,634.7172,313.5078,0.815707,0.809413,30,21930,-44.73909,85.74488,42.13931,-73.38446,67.48392
43,EEGC3,798,1.194611,1.206504,135.9701,-611.6383,-333.1835,636.9632,304.3033,0.828841,0.816569,30,20040,-43.02953,83.20383,40.12399,-70.2335,65.73663
43,EEGC4,941,1.408683,1.199713,145.7402,-663.44,-355.328,690.63,343.0471,0.833533,0.829104,30,20040,-45.76485,88.77636,43.24106,-75.67789,70.06226
44,EEGC3,342,0.592721,1.099561,88.10915,-396.3376,-196.6934,500.826,274.089,0.909454,1.082827,30,17310,-28.06314,53.53986,26.13912,-45.61405,42.4951
44,EEGC4,398,0.689775,1.10995,96.85105,-422.0809,-213.7675,552.9734,312.5925,0.900942,1.105556,30,17310,-29.486,56.19367,28.73467,-51.74578,45.10527
45,EEGC3,1552,2.217143,1.245664,209.7486,-830.8922,-451.9607,970.2656,540.4972,0.802785,0.910168,30,21000,-62.12768,117.7568,63.45737,-112.5805,97.1681
45,EEGC4,1641,2.344286,1.258513,223.2408,-876.8097,-480.0846,989.4584,545.3169,0.794588,0.876359,30,21000,-66.46829,125.7428,67.59979,-120.3303,102.9105
46,EEG C3,630,1.197719,1.326111,111.8745,-437.7556,-231.7805,466.5028,246.4399,0.754085,0.798439,30,15780,-33.87481,64.57776,33.3461,-59.26852,52.60599
46,EEG C4,706,1.342205,1.35721,112.5147,-429.7611,-228.3009,458.2865,226.288,0.736806,0.757348,30,15780,-34.24174,65.65023,33.72442,-58.46863,54.04608
47,EEGC3,372,0.759184,1.14914,115.9958,-542.7942,-301.0764,584.4273,307.1173,0.870216,0.942249,30,14700,-35.53869,67.22297,34.64797,-61.58499,54.41085
47,EEGC4,329,0.671429,1.125502,128.1917,-587.0388,-327.7033,649.5988,363.6885,0.888493,1.048305,30,14700,-37.11467,70.05399,38.52695,-69.64503,58.54662
48,EEGC3,603,1.092391,1.137463,145.2366,-667.9993,-376.1383,715.7553,409.8431,0.87915,0.931245,30,16560,-42.69491,80.25959,43.78266,-79.81273,65.42382
48,EEGC4,639,1.157609,1.138247,152.3165,-712.567,-397.7544,741.433,438.678,0.878544,0.951318,30,16560,-44.96672,83.83228,45.88424,-85.20889,67.10759
49,EEGC3,225,0.778547,1.080933,160.758,-793.7271,-469.9756,805.7276,478.0204,0.925126,1.016995,30,8670,-43.10231,80.40324,48.5532,-90.46389,70.2941
