datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
1,EEGC3,1298,2.481836,0.80943,25.13827,12.50809,30,0,15690,3.047909,1.5,1.5,11.9,13.9,12.9,7.237603,10.117874,10.130971,-0.271807,12.918983,0.472488
1,EEGC4,1281,2.449331,0.824356,26.26586,12.620265,30,0,15690,3.212518,1.5,1.5,11.9,13.9,12.9,7.581426,10.392662,10.41452,-0.296416,13.03836,0.470921
2,EEGC3,1647,2.854419,0.793855,39.03994,13.326016,30,0,17310,4.107761,1.5,1.5,12.5,14.5,13.5,11.03011,10.585307,10.572556,-0.23899,13.757145,0.511827
2,EEGC4,1552,2.689775,0.777603,39.34585,13.249892,30,0,17310,4.16033,1.5,1.5,12.5,14.5,13.5,11.03926,10.289304,10.31701,-0.308503,13.694639,0.51951
3,EEGC3,1014,2.121339,0.804694,27.55782,12.737757,30,0,14340,3.35055,1.5,1.5,12,14,13,7.973624,10.240631,10.259369,-0.288661,13.171591,0.494767
3,EEGC4,1015,2.123431,0.784946,28.90624,12.711492,30,0,14340,3.520171,1.5,1.5,12,14,13,8.346331,9.951724,10.003941,-0.375056,13.197795,0.494394
4,EEGC3,1124,1.833605,0.738888,23.4075,13.291231,30,0,18390,2.786821,1.5,1.5,12.8,14.8,13.8,6.690161,9.814057,9.827402,-0.526406,13.855614,0.507927
4,EEGC4,1086,1.771615,0.743748,25.14117,13.309232,30,0,18390,3.030141,1.5,1.5,12.8,14.8,13.8,7.219114,9.890424,9.906998,-0.415918,13.818113,0.477623
5,EEGC3,1304,2.099839,0.815721,36.32015,14.052834,30,0,18630,3.485405,1.5,1.5,13.4,15.4,14.4,10.03961,11.474693,11.451687,-0.514375,14.611108,0.551719
5,EEGC4,1340,2.15781,0.803903,36.91013,14.021611,30,0,18630,3.607492,1.5,1.5,13.4,15.4,14.4,10.28322,11.273881,11.270149,-0.443245,14.561498,0.558356
6,EEGC3,1932,2.892216,0.85294,45.48551,12.962412,30,0,20040,5.269667,1.5,1.5,12.4,14.4,13.4,13.05774,11.059006,11.053313,-0.433764,13.447799,0.556302
6,EEGC4,2024,3.02994,0.874219,53.99924,13.107685,30,0,20040,6.317094,1.5,1.5,12.4,14.4,13.4,15.57915,11.455534,11.462451,-0.359362,13.555393,0.533632
7,EEGC3,1263,2.387524,0.798116,31.65574,12.912442,30,0,15870,3.669092,1.5,1.5,12.3,14.3,13.3,8.998304,10.311956,10.299287,-0.309853,13.354296,0.489736
7,EEGC4,1335,2.523629,0.804787,34.72275,12.98737,30,0,15870,4.035228,1.5,1.5,12.3,14.3,13.3,9.918234,10.455431,10.448689,-0.30366,13.42605,0.501752
8,EEGC3,1559,2.365706,0.730911,31.8348,13.121221,30,0,19770,3.51237,1.5,1.5,12.5,14.5,13.5,9.012705,9.595895,9.58499,-0.350329,13.589525,0.52417
8,EEGC4,1398,2.121396,0.709671,28.32035,13.073015,30,0,19770,3.269498,1.5,1.5,12.5,14.5,13.5,8.09447,9.264664,9.290415,-0.329938,13.545441,0.525781
9,EEGC3,1263,2.466797,0.689438,27.70096,13.597891,30,0,15360,2.744514,1.5,1.5,13,15,14,7.75195,9.357086,9.392716,-0.141313,14.01535,0.543545
9,EEGC4,1245,2.431641,0.694426,27.46915,13.564703,30,0,15360,2.698857,1.5,1.5,13,15,14,7.67053,9.406426,9.432932,-0.171476,14.005879,0.535116
10,EEGC3,1169,1.897727,0.70627,26.20544,12.895001,30,0,18480,2.983351,1.5,1.5,12.3,14.3,13.3,7.471092,9.104363,9.110351,-0.233147,13.316496,0.487076
10,EEGC4,1181,1.917208,0.702727,26.42944,12.874735,30,0,18480,2.956976,1.5,1.5,12.3,14.3,13.3,7.512156,9.060119,9.034716,-0.244932,13.331695,0.519707
11,EEGC3,1201,2.125664,0.726153,24.91977,13.345794,30,0,16950,2.666965,1.5,1.5,12.7,14.7,13.7,7.033621,9.685262,9.696919,-0.343282,13.8153,0.513185
11,EEGC4,1036,1.833628,0.717703,21.05243,13.183554,30,0,16950,2.418928,1.5,1.5,12.7,14.7,13.7,5.999413,9.449807,9.473938,-0.248023,13.650544,0.508701
12,EEGC3,1800,2.521008,0.740383,28.04423,14.109058,30,0,21420,3.091436,1.5,1.5,13.5,15.5,14.5,8.038585,10.451667,10.440556,-0.079265,14.511486,0.514786
12,EEGC4,1828,2.560224,0.746789,33.35721,14.171544,30,0,21420,3.616236,1.5,1.5,13.5,15.5,14.5,9.517905,10.585886,10.580416,-0.085792,14.587827,0.518101
13,EEGC3,1440,2.218798,0.758993,29.64692,12.754929,30,0,19470,3.311674,1.5,1.5,12.3,14.3,13.3,8.332134,9.692361,9.669444,-0.366138,13.234366,0.500293
13,EEGC4,1394,2.14792,0.778278,33.39222,12.787118,30,0,19470,3.735028,1.5,1.5,12.3,14.3,13.3,9.358725,9.935438,9.968436,-0.318356,13.255009,0.475995
14,EEGC3,1259,2.398095,0.767625,29.58092,13.871011,30,0,15750,3.380262,1.5,1.5,13.3,15.3,14.3,8.480226,10.653693,10.641779,-0.327894,14.353456,0.5193
14,EEGC4,1327,2.527619,0.816232,32.73141,13.967723,30,0,15750,3.691154,1.5,1.5,13.3,15.3,14.3,9.375767,11.39789,11.403919,-0.293298,14.44416,0.509274
15,EEGC3,1086,1.822148,0.73361,40.49858,13.335634,30,0,17880,4.529798,1.5,1.5,12.8,14.8,13.8,11.39638,9.791897,9.774401,-0.363996,13.841367,0.489083
15,EEGC4,1226,2.057047,0.729054,42.48073,13.335459,30,0,17880,4.860063,1.5,1.5,12.8,14.8,13.8,12.06512,9.707178,9.737357,-0.263106,13.79226,0.486768
16,EEGC3,1552,2.703833,0.866527,44.15896,12.896606,30,0,17220,5.52899,1.5,1.5,12.1,14.1,13.1,12.85479,11.171392,11.179124,-0.326628,13.318849,0.473459
16,EEGC4,1437,2.503484,0.819763,40.26682,12.830645,30,0,17220,5.071041,1.5,1.5,12.1,14.1,13.1,11.71399,10.508003,10.528184,-0.379406,13.295719,0.512543
17,EEGC3,1886,2.993651,0.919305,43.21258,12.749667,30,0,18900,5.361108,1.5,1.5,12,14,13,12.64341,11.732768,11.708908,-0.273572,13.173513,0.502697
17,EEGC4,1854,2.942857,0.928393,41.60591,12.721062,30,0,18900,5.090615,1.5,1.5,12,14,13,12.09744,11.824164,11.796117,-0.271791,13.137486,0.508461
18,EEGC3,1371,2.439502,0.81922,30.59882,12.497885,30,0,16860,3.413269,1.5,1.5,11.9,13.9,12.9,8.687468,10.234136,10.242888,-0.21493,12.890233,0.489782
18,EEGC4,1175,2.090747,0.768655,28.32706,12.448376,30,0,16860,3.233976,1.5,1.5,11.9,13.9,12.9,8.079589,9.548936,9.588085,-0.135651,12.827298,0.473816
19,EEGC3,1645,2.679153,0.774371,36.47861,13.325457,30,0,18420,3.957919,1.5,1.5,12.7,14.7,13.7,10.33489,10.320973,10.316717,-0.369182,13.809635,0.54085
19,EEGC4,1560,2.540717,0.779622,30.72785,13.329113,30,0,18420,3.371236,1.5,1.5,12.7,14.7,13.7,8.673736,10.402564,10.380769,-0.463097,13.846423,0.526585
20,EEGC3,1738,2.785256,0.796133,40.04356,13.64116,30,0,18720,4.559452,1.5,1.5,13,15,14,11.44577,10.853855,10.866513,-0.613925,14.2358,0.575894
20,EEGC4,1579,2.530449,0.777574,34.35739,13.429414,30,0,18720,3.929769,1.5,1.5,13,15,14,9.755703,10.446485,10.438252,-0.604175,14.024716,0.528054
21,EEGC3,931,1.484848,0.778668,25.72093,13.572158,30,0,18810,2.942361,1.5,1.5,13,15,14,7.205101,10.562836,10.573577,-0.368397,14.06864,0.435878
21,EEGC4,746,1.189793,0.748606,25.73082,13.528274,30,0,18810,3.048996,1.5,1.5,13,15,14,7.316288,10.120643,10.134048,-0.422213,14.022381,0.439178
22,EEGC3,1546,2.75089,0.807542,34.37535,13.338433,30,0,16860,3.86643,1.5,1.5,12.7,14.7,13.7,9.788072,10.769728,10.772962,-0.093699,13.71602,0.501444
22,EEGC4,1366,2.430605,0.796208,34.37682,13.33508,30,0,16860,3.92806,1.5,1.5,12.7,14.7,13.7,9.818546,10.614934,10.620059,-0.144352,13.728188,0.507201
23,EEGC3,945,1.572379,0.752222,19.69925,12.610959,30,0,18030,2.279601,1.5,1.5,12,14,13,5.573891,9.467725,9.504762,-0.367503,13.054648,0.492565
23,EEGC4,983,1.635607,0.765015,22.25389,12.606215,30,0,18030,2.567251,1.5,1.5,12,14,13,6.285992,9.643947,9.643947,-0.387888,13.08614,0.490503
24,EEGC3,1583,2.678511,0.824555,40.12485,14.158373,30,0,17730,4.615459,1.5,1.5,13.5,15.5,14.5,11.43159,11.670878,11.677827,-0.247455,14.630343,0.49548
24,EEGC4,1542,2.609137,0.824922,42.27872,14.156113,30,0,17730,4.813092,1.5,1.5,13.5,15.5,14.5,11.99031,11.676394,11.678988,-0.353563,14.653943,0.494168
25,EEGC3,1074,2.309677,0.761639,28.78857,13.630196,30,0,13950,3.411959,1.5,1.5,13,15,14,8.295796,10.378957,10.383613,-0.021637,13.992917,0.488249
25,EEGC4,889,1.911828,0.74369,29.03491,13.572768,30,0,13950,3.582543,1.5,1.5,13,15,14,8.446213,10.088864,10.098988,-0.047867,13.960221,0.480648
26,EEGC3,1403,2.361953,0.73,25.80626,14.263467,30,0,17820,2.875183,1.5,1.5,13.7,15.7,14.7,7.3792,10.429081,10.395581,-0.000279,14.668331,0.523941
26,EEGC4,1308,2.20202,0.737592,24.9594,14.306519,30,0,17820,2.798305,1.5,1.5,13.7,15.7,14.7,7.119547,10.562691,10.542049,-0.036252,14.708443,0.500616
27,EEGC3,1609,2.690635,0.829341,29.82934,12.908701,30,0,17940,3.267286,1.5,1.5,12.3,14.3,13.3,8.440116,10.701057,10.710379,-0.073462,13.223826,0.500714
27,EEGC4,1596,2.668896,0.867024,36.06734,13.02637,30,0,17940,3.862391,1.5,1.5,12.3,14.3,13.3,10.13471,11.296366,11.29198,-0.058604,13.331298,0.505551
28,EEGC3,1246,2.537678,0.814551,29.62554,13.290079,30,0,14730,3.492334,1.5,1.5,12.7,14.7,13.7,8.496134,10.825843,10.82504,-0.225558,13.69137,0.490685
28,EEGC4,1321,2.690428,0.840522,32.39072,13.336576,30,0,14730,3.865297,1.5,1.5,12.7,14.7,13.7,9.328859,11.211204,11.208176,-0.206653,13.745198,0.511255
29,EEGC3,842,2.215789,0.762945,55.32924,13.597447,30,0,11400,5.861898,1.5,1.5,13,15,14,15.45128,10.376485,10.371734,-0.331563,14.053165,0.501573
29,EEGC4,827,2.176316,0.771161,63.85641,13.571149,30,0,11400,6.507908,1.5,1.5,13,15,14,17.76533,10.461911,10.469166,-0.360833,14.055911,0.51841
30,EEGC3,1372,2.202247,0.778222,30.19875,13.740962,30,0,18690,3.21351,1.5,1.5,13.3,15.3,14.3,8.396228,10.700437,10.686589,-0.477427,14.292151,0.491313
30,EEGC4,1258,2.019262,0.783975,31.01158,13.786198,30,0,18690,3.322076,1.5,1.5,13.3,15.3,14.3,8.639989,10.81717,10.798887,-0.403045,14.314024,0.494121
31,EEGC3,1389,2.243942,0.797423,32.44744,12.964735,30,0,18570,3.536906,1.5,1.5,12.54,14.54,13.54,9.090213,10.325414,10.351332,-0.439851,13.488107,0.501226
31,EEGC4,1385,2.23748,0.780671,34.68214,13.014807,30,0,18570,3.761683,1.5,1.5,12.54,14.54,13.54,9.725209,10.170397,10.150181,-0.454659,13.532915,0.526401
32,EEGC3,1067,1.891844,0.66732,29.06947,13.362499,30,0,16920,3.05533,1.5,1.5,12.8,14.8,13.8,8.19216,8.927835,8.906279,-0.097047,13.796455,0.507599
32,EEGC4,963,1.707447,0.695514,25.34133,13.330497,30,0,16920,2.849913,1.5,1.5,12.8,14.8,13.8,7.18023,9.267913,9.275182,-0.075934,13.713963,0.491808
33,EEGC3,1318,2.418349,0.829742,41.61291,12.360552,30,0,16350,4.623281,1.5,1.5,11.8,13.8,12.8,11.7829,10.238998,10.273141,-0.193438,12.726529,0.475988
33,EEGC4,1134,2.080734,0.816922,35.95005,12.385712,30,0,16350,4.09702,1.5,1.5,11.8,13.8,12.8,10.158,10.119929,10.116402,-0.216575,12.765282,0.476767
34,EEGC3,1455,2.358185,0.770419,35.90813,13.326524,30,0,18510,4.085182,1.5,1.5,12.8,14.8,13.8,10.17694,10.265979,10.268041,-0.498355,13.848375,0.510722
34,EEGC4,1443,2.338736,0.771532,40.33871,13.37531,30,0,18510,4.53762,1.5,1.5,12.8,14.8,13.8,11.41518,10.327789,10.311157,-0.497147,13.916236,0.508213
35,EEGC3,1260,2.035541,0.692071,22.92249,14.436761,30,0,18570,2.609754,1.5,1.5,14,16,15,6.515919,9.996825,9.985714,-0.161254,14.916193,0.467446
35,EEGC4,1335,2.156704,0.685633,27.71113,14.496023,30,0,18570,3.034889,1.5,1.5,14,16,15,7.852561,9.954307,9.923596,-0.133896,14.965672,0.50245
36,EEGC3,875,1.362928,0.679566,14.88145,13.306818,30,0,19260,1.864615,1.5,1.5,13,15,14,4.331919,9.038857,9.046857,-0.005257,13.690141,0.468472
36,EEGC4,822,1.280374,0.702822,14.63871,13.306619,30,0,19260,1.825231,1.5,1.5,13,15,14,4.22999,9.341849,9.36253,-0.032391,13.666708,0.416112
37,EEGC3,680,1.7,0.752824,26.15996,10.838608,30,0,12000,3.364395,1.5,1.5,10.1,12.1,11.1,7.586298,8.144118,8.175,-0.33928,11.225234,0.502205
37,EEGC4,595,1.4875,0.718739,24.08549,10.860517,30,0,12000,2.976817,1.5,1.5,10.1,12.1,11.1,6.907816,7.815126,7.796639,-0.348067,11.281476,0.487679
38,EEGC3,1096,2.362069,0.752856,20.58414,13.331839,30,0,13920,2.493644,1.5,1.5,12.8,14.8,13.8,5.963314,10.046533,10.027372,-0.227969,13.766126,0.483516
38,EEGC4,1175,2.532328,0.777362,22.06392,13.430042,30,0,13920,2.659998,1.5,1.5,12.8,14.8,13.8,6.396355,10.454468,10.425532,-0.218576,13.878979,0.476452
39,EEGC3,1372,2.766129,0.763491,29.62187,13.027083,30,0,14880,3.417244,1.5,1.5,12.3,14.3,13.3,8.431638,9.954082,9.938047,-0.584005,13.612651,0.548521
39,EEGC4,1214,2.447581,0.766911,27.3015,12.803562,30,0,14880,3.203637,1.5,1.5,12.3,14.3,13.3,7.752302,9.820428,9.817957,-0.682916,13.411855,0.515692
40,EEGC3,1352,2.405694,0.86983,38.20451,12.092159,30,0,16860,4.350758,1.5,1.5,11.5,13.5,12.5,10.76033,10.498521,10.537722,-0.490373,12.585286,0.48342
40,EEGC4,1299,2.311388,0.834134,35.40951,12.144452,30,0,16860,4.198777,1.5,1.5,11.5,13.5,12.5,10.06775,10.134719,10.125481,-0.374458,12.593205,0.46381
41,EEGC3,1600,2.507837,0.775662,34.0877,14.518234,30,0,19140,3.612476,1.5,1.5,14,16,15,9.608587,11.25125,11.27125,-0.240933,15.003889,0.523217
41,EEGC4,1530,2.398119,0.806824,33.57757,14.496047,30,0,19140,3.544817,1.5,1.5,14,16,15,9.40389,11.692157,11.699346,-0.272234,14.977232,0.511715
42,EEGC3,1075,1.470588,0.731237,19.45823,13.463642,30,0,21930,2.45164,1.5,1.5,13,15,14,5.60441,9.859535,9.830698,-0.167158,13.867166,0.417094
42,EEGC4,1165,1.593707,0.753502,20.10661,13.300411,30,0,21930,2.486639,1.5,1.5,13,15,14,5.777928,10.017167,10.026609,-0.111999,13.687898,0.412377
43,EEGC3,872,1.305389,0.72922,30.0513,12.773637,30,0,20040,3.818826,1.5,1.5,12.2,14.2,13.2,8.665076,9.313073,9.316514,-0.126716,13.156824,0.43683
43,EEGC4,779,1.166168,0.776354,30.96305,12.783988,30,0,20040,3.911406,1.5,1.5,12.2,14.2,13.2,8.868351,9.907574,9.942234,-0.063442,13.11647,0.39781
44,EEGC3,1432,2.481802,0.859239,23.09864,14.711117,30,0,17310,2.52692,1.5,1.5,14,16,15,6.507667,12.64595,12.634777,-0.143644,15.16074,0.487273
44,EEGC4,1329,2.303293,0.826403,22.55976,14.640942,30,0,17310,2.595777,1.5,1.5,14,16,15,6.418968,12.108352,12.090293,-0.185307,15.087674,0.475402
45,EEGC3,1798,2.568571,0.762514,31.12242,12.915755,30,0,21000,3.492632,1.5,1.5,12.3,14.3,13.3,8.840639,9.853726,9.843159,-0.40166,13.388269,0.514813
45,EEGC4,1670,2.385714,0.76015,29.71711,12.875655,30,0,21000,3.450711,1.5,1.5,12.3,14.3,13.3,8.454683,9.785629,9.789222,-0.436684,13.359149,0.505311
46,EEG C3,767,1.458175,0.713259,22.22072,13.481821,30,0,15780,2.690981,1.5,1.5,13,15,14,6.394539,9.612777,9.619296,-0.243936,13.924614,0.49291
46,EEG C4,811,1.541825,0.712047,21.98526,13.609365,30,0,15780,2.774763,1.5,1.5,13,15,14,6.466743,9.688039,9.692972,-0.213361,14.067759,0.517151
47,EEGC3,1024,2.089796,0.799805,26.88364,13.444444,30,0,14700,3.030682,1.5,1.5,12.8,14.8,13.8,7.552326,10.749023,10.756836,-0.480167,13.989395,0.492854
47,EEGC4,943,1.92449,0.779162,24.54456,13.363729,30,0,14700,2.757554,1.5,1.5,12.8,14.8,13.8,6.885973,10.40403,10.420997,-0.493832,13.885844,0.473453
48,EEGC3,1566,2.836957,0.73431,43.27072,13.41386,30,0,16560,4.77453,1.5,1.5,12.8,14.8,13.8,12.32328,9.84355,9.856322,-0.603816,14.006256,0.607431
48,EEGC4,1560,2.826087,0.722853,47.35744,13.425265,30,0,16560,5.224201,1.5,1.5,12.8,14.8,13.8,13.46839,9.699359,9.709615,-0.573476,13.988733,0.579368
49,EEGC3,781,2.702422,0.803329,36.70882,13.952024,30,0,8670,4.088937,1.5,1.5,13.3,15.3,14.3,10.47156,11.21767,11.198464,-0.238041,14.402441,0.52364
